t0,t1,t2,t3,t4,t5
2.705041839816211269e-01,1.939365595204975146e-01,2.060575944905285728e-01,2.874106954804723224e-01,8.228715822159549109e-01,4.891553647518360037e+01
2.727149352935151483e-01,1.960112632239472408e-01,2.082619671754438739e-01,2.897596187493598485e-01,8.207443924277292302e-01,4.900996696294512844e+01
2.738402776108671555e-01,1.992619409815607756e-01,2.117158122929084507e-01,2.909552949615465955e-01,8.187901754883503136e-01,4.909619375620636106e+01
2.717738010296866791e-01,2.022171766054903508e-01,2.148557501433334405e-01,2.887596635940420375e-01,8.172084088786945033e-01,4.917908837071925632e+01
2.681590599821823684e-01,2.050067298898670121e-01,2.178196505079838530e-01,2.849190012310686693e-01,8.152334326243776408e-01,4.925968880162483998e+01
2.650998841481562729e-01,2.081287247721818334e-01,2.211367700704431893e-01,2.816686269074159532e-01,8.134914846438296987e-01,4.937118258690761508e+01
2.616376459953650979e-01,2.115569148537270738e-01,2.247792220320848355e-01,2.779899988700754165e-01,8.116881259105013235e-01,4.949390855713791382e+01
2.588266692177376704e-01,2.141025753543294996e-01,2.274839863139750951e-01,2.750033360438462471e-01,8.106474449945998417e-01,4.961746463322114664e+01
2.552814968615741420e-01,2.160679270892419956e-01,2.295721725323196794e-01,2.712365904154225293e-01,8.107614214743227299e-01,4.974646886684262626e+01
2.523283861523857863e-01,2.173677735030176417e-01,2.309532593469563744e-01,2.680989102869098528e-01,8.117346421542631640e-01,4.987643129370185591e+01
2.474946696970990179e-01,2.183922903675451777e-01,2.320418085155165899e-01,2.629630865531679684e-01,8.130283327130781723e-01,5.001276879173921941e+01
2.463806143961123074e-01,2.210504741687668029e-01,2.348661288043147610e-01,2.617794027958689762e-01,8.117964638889445528e-01,5.009721456748528823e+01
2.463236425545921315e-01,2.242371107810745556e-01,2.382519302048917431e-01,2.617188702142541623e-01,8.103421474052978635e-01,5.013001886956138975e+01
2.509080109597703334e-01,2.261247284645923061e-01,2.402575239936292073e-01,2.665897616447558960e-01,8.108404229951724496e-01,5.011782009634161028e+01
2.533909853405425516e-01,2.263404104309543474e-01,2.404866860828890618e-01,2.692279219243268185e-01,8.124286820466160020e-01,5.013042674367847695e+01
2.566780092430593907e-01,2.266072565595463051e-01,2.407702100945178225e-01,2.727203848207507830e-01,8.134222877598593637e-01,5.014792120954679433e+01
2.578654123247891006e-01,2.267955795309664346e-01,2.409703032516518073e-01,2.739820005950884818e-01,8.140109119194427478e-01,5.017539576753208053e+01
2.580950325679845503e-01,2.269116005710765660e-01,2.410935756067688340e-01,2.742259721034837061e-01,8.144120401286660815e-01,5.021134626749425678e+01
2.583243710309749974e-01,2.271130952473496001e-01,2.413076637003089830e-01,2.744696442204108133e-01,8.145260158255618332e-01,5.026651880687325047e+01
2.613497693234724806e-01,2.270867818698928398e-01,2.412797057367610798e-01,2.776841299061894031e-01,8.146727270975407942e-01,5.032225503303546077e+01
2.626619691796442391e-01,2.267927699412836118e-01,2.409673180626135114e-01,2.790783422533720248e-01,8.148623040976683551e-01,5.039813057011429720e+01
2.623506205313552164e-01,2.255037810219802930e-01,2.395977673358539173e-01,2.787475343145651707e-01,8.156692589263743187e-01,5.047261416688067470e+01
