time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
3.133333,2.006899,2.017503,2.028336,2.020320,2.001787,1.982663,2.002582,1.911196,0.109135,0.106486,0.034983,0.086011,0.199517,0.128949,0.954590,1.205927,1.172234
3.150000,2.006891,2.017822,2.027886,2.020803,2.001618,1.982509,2.002570,1.911267,0.108849,0.106971,0.035183,0.086064,0.200802,0.128739,0.946800,1.181249,1.185439
3.166667,2.006881,2.018050,2.027537,2.021152,2.001506,1.982365,2.002563,1.911333,0.108852,0.107308,0.035345,0.086090,0.202095,0.128542,0.939696,1.162319,1.193856
3.183333,2.006873,2.018232,2.027243,2.021377,2.001431,1.982230,2.002562,1.911486,0.108930,0.107565,0.035484,0.086151,0.203251,0.128351,0.933810,1.146946,1.198106
3.200000,2.006867,2.018425,2.027028,2.021537,2.001378,1.982111,2.002561,1.911621,0.109062,0.107770,0.035476,0.086218,0.204203,0.128179,0.928600,1.135499,1.200667
3.216667,2.006862,2.018659,2.026848,2.021650,2.001338,1.982006,2.002560,1.911735,0.109181,0.107951,0.035383,0.086299,0.204986,0.128018,0.925874,1.125679,1.202214
3.233333,2.006858,2.018823,2.026727,2.021741,2.001307,1.981916,2.002561,1.911827,0.109293,0.108090,0.035312,0.086350,0.205625,0.127897,0.924639,1.118963,1.203701
3.250000,2.006846,2.018880,2.026661,2.021825,2.001278,1.981843,2.002558,1.912006,0.109321,0.108214,0.035267,0.086406,0.206172,0.127478,0.922176,1.115209,1.205681
3.266667,2.006838,2.018909,2.026625,2.021921,2.001254,1.981787,2.002557,1.912109,0.109306,0.108314,0.035227,0.086468,0.206485,0.127231,0.920635,1.113181,1.208766
3.283333,2.006833,2.018932,2.026607,2.022023,2.001236,1.981747,2.002557,1.912169,0.109278,0.108377,0.035188,0.086515,0.206740,0.127087,0.920144,1.112102,1.212499
3.300000,2.006829,2.018959,2.026597,2.022135,2.001222,1.981726,2.002558,1.912209,0.109237,0.108420,0.035145,0.086556,0.206999,0.126993,0.920574,1.111529,1.216806
3.316667,2.006824,2.018992,2.026591,2.022255,2.001209,1.981718,2.002560,1.912239,0.109187,0.108450,0.035096,0.086593,0.207282,0.126922,0.921660,1.111216,1.221493
3.333333,2.006819,2.019018,2.026589,2.022375,2.001198,1.981716,2.002563,1.912276,0.109132,0.108469,0.035053,0.086624,0.207660,0.126856,0.922777,1.111049,1.226254
3.350000,2.006815,2.019038,2.026587,2.022487,2.001188,1.981717,2.002565,1.912308,0.109081,0.108479,0.035019,0.086650,0.207976,0.126806,0.923722,1.110961,1.230696
3.366667,2.006812,2.019051,2.026587,2.022580,2.001181,1.981719,2.002567,1.912340,0.109041,0.108480,0.034998,0.086668,0.208196,0.126773,0.924324,1.110920,1.234393
3.383333,2.006811,2.019057,2.026587,2.022644,2.001178,1.981721,2.002568,1.912374,0.109025,0.108473,0.034985,0.086675,0.208301,0.126754,0.924652,1.110903,1.236944
3.400000,2.006811,2.019061,2.026587,2.022681,2.001176,1.981723,2.002569,1.912420,0.109020,0.108470,0.034979,0.086681,0.208319,0.126743,0.924831,1.110899,1.238380
3.416667,2.006812,2.019063,2.026587,2.022767,2.001170,1.981727,2.002570,1.912484,0.108971,0.108482,0.034971,0.086720,0.208282,0.126737,0.924928,1.110901,1.241818
3.433333,2.006814,2.019064,2.026587,2.022817,2.001167,1.981730,2.002570,1.912421,0.108949,0.108475,0.034966,0.086731,0.208217,0.126736,0.924982,1.110907,1.243767
3.450000,2.006816,2.019064,2.026588,2.022843,2.001165,1.981731,2.002571,1.912458,0.108938,0.108473,0.034964,0.086742,0.208079,0.126733,0.925012,1.110914,1.244813
3.466667,2.006818,2.019065,2.026588,2.022858,2.001165,1.981732,2.002572,1.912567,0.108932,0.108473,0.034963,0.086752,0.207874,0.126730,0.925028,1.110920,1.245372
3.483333,2.006821,2.019068,2.026554,2.022866,2.001168,1.981466,2.002550,1.912734,0.108940,0.108498,0.034958,0.086762,0.207594,0.126727,0.925082,1.110852,1.245670
3.500000,2.006829,2.018950,2.026499,2.022866,2.001174,1.980965,2.002502,1.912952,0.108958,0.108542,0.034800,0.086777,0.207253,0.126804,0.924872,1.117693,1.245822
3.516667,2.006845,2.018430,2.027092,2.023021,2.001225,1.980468,2.002455,1.913200,0.108902,0.108572,0.034168,0.086798,0.206879,0.127139,0.922977,1.152263,1.259909
